,Name,Team,GP,G,A,PTS,PTS/GM,PIMS,PLUS/MINUS
363,Eric Florchuk (C/LW),Victoria Royals,51,3,6,9,0.18,22,-14
364,Riley McKay (LW),Spokane Chiefs,51,3,6,9,0.18,123,-8
365,Keenan Taphorn (RW),Kootenay Ice,68,3,6,9,0.13,10,-24
366,Mitchell Prowse (D),Victoria Royals,38,2,7,9,0.24,8,2
367,Gordie Ballhorn (D),Kelowna Rockets,44,2,7,9,0.2,46,18
368,Robbie Holmes (LW),Regina Pats,54,2,7,9,0.17,17,7
369,Michael King (C),Kootenay Ice,66,2,7,9,0.14,10,-29
370,Nolan Kneen (D),Kamloops Blazers,69,2,7,9,0.13,58,13
,,,,,,,,,
371,Kord Pankewicz (D),Lethbridge Hurricanes,24,1,8,9,0.38,34,0
372,Dalton Gally (D),Medicine Hat Tigers,58,1,8,9,0.16,44,-5
373,Dylan MacPherson (D),Medicine Hat Tigers,51,0,9,9,0.18,6,18
374,Gary Haden (C),Medicine Hat Tigers,32,7,1,8,0.25,11,2
375,Bartek Bison (LW),totals,37,7,1,8,0.22,15,-4
,,Prince George Cougars,22,5,1,6,0.27,4,0
,,Vancouver Giants,15,2,0,2,0.13,11,-4
376,Brandson Hein (LW),Everett Silvertips,48,6,2,8,0.17,6,4
377,Lukus MacKenzie (LW),Saskatoon Blades,52,6,2,8,0.15,75,-20
378,Travis Walton (LW),Kamloops Blazers,48,5,3,8,0.17,13,1
379,Erik Miller (C),Kamloops Blazers,52,5,3,8,0.15,25,3
380,Fyodor Rudakov (D),Kootenay Ice,59,5,3,8,0.14,35,-27
,,,,,,,,,
381,Alex Mowbray (RW),Spokane Chiefs,36,4,4,8,0.22,21,-3
382,Lucas Cullen (C),Calgary Hitmen,37,4,4,8,0.22,8,-5
383,Kaeden Taphorn (F),Kootenay Ice,48,4,4,8,0.17,6,-21
384,Tyson Gruninger (RW),Edmonton Oil Kings,34,3,5,8,0.24,23,-2
385,Carson Focht (C),Tri-City Americans,62,3,5,8,0.13,12,1
386,Dakota Odgers (C/LW),Moose Jaw Warriors,42,2,6,8,0.19,71,-2
387,Shaun Dosanjh (D),totals,49,2,6,8,0.16,47,13
,,Prince George Cougars,4,0,0,0,0,2,1
,,Kamloops Blazers,14,1,3,4,0.29,16,7
,,Lethbridge Hurricanes,12,0,3,3,0.25,21,-1
,,Portland Winterhawks,19,1,0,1,0.05,8,6
388,Tanner Sidaway (F),Kootenay Ice,65,2,6,8,0.12,61,-28
389,Jaydan Gordon (D),Calgary Hitmen,70,2,6,8,0.11,20,-20
390,Kyle Yewchuk (D),totals,46,1,7,8,0.17,46,5
,,Edmonton Oil Kings,27,1,4,5,0.19,31,-4
,,Lethbridge Hurricanes,19,0,3,3,0.16,15,9
,,,,,,,,,
